Rank,Company,Sells_2017,Sells_2016,Revenue_2017,EBITDA_2017,Employees,IndustrialActivity,Location
179,CORPORACIONDERADIOYTELEVISIONESPA�OLASASME,979.476.724,971.938.827,23.317.918,72.128.661,-,RadioyTelevisi�n,POZUELODEALAR(MADRID)
180,COMPA�IAESPA�OLADELAMINACIONSL,970.254.00,837.658.00,-693.00,72.595.00,935,Acero,CASTELLBISBAL(BARCELONA)
181,VEGOSUPERMERCADOSSA,956.943.00,927.601.00,17.206.00,39.884.00,5.603,Minoristasdealimentos/medicamentos,ACORU�A(LACORU�A)
182,SUPERMERCADOSSABECOSA,956.241.00,954.759.00,-3.679.00,12.523.00,4.301,Minoristasdealimentos/medicamentos,VILLANUEVODEG(�VILA)
183,CAMPOFRIOFOODGROUPSA,938.700.00,919.816.00,-1.715.00,48.020.00,-,Productosalimenticios,MADRID(MADRID)
184,PUBLIESPA�ASA,934.132.739,922.986.075,67.095.032,88.512.590,-,Consultor�aempresarialyotros,MADRID(MADRID)
185,METRODEMADRIDSA,933.388.00,909.248.00,4.281.00,123.693.00,6.800,Utilities/Serviciosdeutilidadp�blica,Madrid(MADRID)
186,CASATARRADELLASSA,917.627.00,883.623.00,24.372.00,45.464.00,-,Productosalimenticios,GURBDELAPLAN(BARCELONA)
187,CANALDEISABELIISA,914.887.00,897.618.00,261.886.00,377.514.00,2.620,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
188,SIEMENSGAMESARENEWABLEENERGYEOLICASL,914.770.00,1.201.960.00,-47.894.00,-46.872.00,1.551,Construcci�nyDesarrollo,SARRIGUREN(NAVARRA)
189,RANDSTADEMPLEOEMPRESADETRABAJOTEMPORALSA,907.916.00,794.44.00,24.532.00,32.750.00,45.323,Otros/varios,MADRID(MADRID)
190,FERROVIALAGROMANSA,895.335.00,825.717.00,51.904.00,72.411.00,2.451,Construcci�nyDesarrollo,Madrid(MADRID)
191,WORLDDUTYFREEGROUPSA,893.617.00,967.462.00,170.131.00,34.088.00,2.045,Minoristasdealimentos/medicamentos,MADRID(MADRID)
192,UFDDISTRIBUCIONELECTRICIDADSA,890.292.00,857.269.00,153.600.00,615.786.00,1.329,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
193,CARBURANTSAXOILSL,889.710.083,757.219.020,479.336,1.806.77,15,Petr�leoygas,ESPARREGUERA(BARCELONA)
194,LOREALESPA�ASA,886.345.00,828.835.00,85.942.00,122.287.00,2.138,Productoscosm�ticos/CuidadoPersonal,MADRID(MADRID)
195,GADISARETAILSL,885.918.904,848.213.087,89.259.280,7.263.254,652,Productosalimenticios,BETANZOS(LACORU�A)
196,VESTASMANUFACTURINGSPAINSL,880.211.309,718.451.283,3.115.129,20.835.899,1.099,Equiposindustriales,DAIMIEL(CIUDADREAL)
197,MIGASAACEITESSL,879.455.452,857.939.228,13.753.513,19.649.028,109,Productosalimenticios,DosHermanas(SEVILLA)
198,UNIONFENOSAGASCOMERCIALIZADORASA,878.569.00,749.727.00,-1.457.00,-9.453.00,-,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
199,COMPA�IANORTE�ADEBEBIDASGASEOSASNORBEGASL,877.595.695,845.184.324,-28.080.629,34.210.622,376,BebidasyTabaco,GALDAKAO(VIZCAYA)
200,TENDAMRETAILSA,874.003.00,848.825.00,78.581.00,44.733.00,6.930,Ropa/textiles,MADRID(MADRID)
201,PROSEGURCOMPA�IADESEGURIDADSA,873.004.00,157.676.00,830.334.00,854.838.00,30,Otros/varios,MADRID(MADRID)
202,NAVANTIASASME,867.630.00,726.883.00,-296.935.00,-343.531.00,5.172,Industrianaval,Madrid(MADRID)
203,FASHIONRETAILSA,866.103.081,1.138.778.395,33.162.959,46.688.904,-,Ropa/textiles,ARTEIXO(LACORU�A)
204,HYUNDAIMOTORESPA�ASL,864.030.057,778.428.153,1.726.021,12.147.368,117,Automotor,MADRID(MADRID)
205,ACCENTURESL,863.386.115,760.840.076,22.797.661,33.409.702,3.298,Consultor�aempresarialyotros,MADRID(MADRID)
206,PRODUBANSERVICIOSINFORMATICOSGENERALESSL,862.498.00,959.069.00,3.052.00,116.998.00,1.766,Telecomunicaciones,BOADILLADELMO(MADRID)
207,JANSSENCILAGSA,858.971.00,808.921.00,38.003.00,35.844.00,733,Productosf�rmacos/Medicamentos,madrid(MADRID)
208,ATRESMEDIACORPORACIONDEMEDIOSDECOMUNICACIONSA,858.716.00,852.299.00,137.292.00,137.187.00,-,RadioyTelevisi�n,SANSEBASTIAND(MADRID)
209,ESTACIONESDESERVICIODEGUIPUZCOASA,858.657.00,656.191.00,4.181.00,7.459.00,47,Petr�leoygas,DONOSTIA-SANSE(GUIP�ZCOA)
210,REPSOLSA,857.00.00,3.031.00.00,-821.00.00,-718.00.00,2.174,Petr�leoygas,MADRID(MADRID)
211,ROCHEFARMASA,848.201.00,769.122.00,65.177.00,66.103.00,974,Productosf�rmacos/Medicamentos,MADRID(MADRID)
212,METALURGICAGALAICASA,-,846.320.856,-,-,-,Acero,Nar�n(LACORU�A)
213,BRIDGESTONEHISPANIASA,842.351.00,739.699.00,15.197.00,48.341.00,2.797,Automotor,basuri(VIZCAYA)
214,DANONESA,840.825.00,875.488.00,93.772.00,88.857.00,1.214,Productosalimenticios,BARCELONA(BARCELONA)
215,CONDISSUPERMERCATSSA,832.461.036,788.722.935,9.549.044,32.566.116,3.896,Minoristasdealimentos/medicamentos,MontcadaIReix(BARCELONA)
216,MERCKSHARP&DOHMEDEESPA�ASA,831.978.00,675.406.00,25.342.00,33.144.00,953,Minoristasdealimentos/medicamentos,MADRID(MADRID)
217,EONENERGIASL,830.830.00,866.365.00,29.206.00,41.939.00,-,Utilities/Serviciosdeutilidadp�blica,SANTANDER(CANTABRIA)
218,JGARCIACARRIONSA,818.615.546,663.050.655,15.034.688,47.495.125,192,BebidasyTabaco,JUMILLA(MURCIA)
219,PLATAFORMACOMERCIALDERETAILSA,816.376.808,724.361.265,4.319.893,9.148.235,1.332,Automotor,MADRID(MADRID)
220,KIAMOTORSIBERIASL,-,813.766.00,-,-,88,Automotor,ALCOBENDAS(MADRID)
221,MEDIASETESPA�ACOMUNICACIONSA,805.921.600,779.044.290,164.665.553,325.126.304,-,RadioyTelevisi�n,Madrid(MADRID)
22,OBRASCONHUARTELAINSA,801.717.00,626.11.00,-61.780.00,-98.771.00,5.950,Construcci�nyDesarrollo,MADRID(MADRID)
223,EUROMADIIBERICASA,793.179.278,698.22.695,1.530.641,2.364.895,51,Otros/varios,ESPLUGUESDELL(BARCELONA)
224,CECOSASUPERMERCADOSSL,791.373.00,773.322.00,13.138.00,27.364.00,3.024,Minoristasdealimentos/medicamentos,ELORRIO(VIZCAYA)
225,NEXUSENERGIASA,788.920.00,708.11.00,2.004.00,2.870.00,132,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
226,CAMPAIBERIASA,787.705.00,551.567.00,16.176.00,12.479.00,17,Petr�leoygas,BARCELONA(BARCELONA)
227,WYETHFARMASA,787.317.900,900.010.862,389.625.274,455.366.516,260,Productosf�rmacos/Medicamentos,SANSEBASTIAND(MADRID)
228,GRUPOELARBOLDISTRIBUCIONYSUPERMERCADOSSA,786.785.00,858.536.00,-27.587.00,-1.875.00,5.962,Minoristasdealimentos/medicamentos,lasrozasdema(MADRID)
229,TSKELECTRONICAYELECTRICIDADSA,785.149.420,773.558.791,17.818.845,96.767.799,637,Construcci�nyDesarrollo,GIJON(ASTURIAS)
230,SOVENAESPA�ASA,784.296.349,771.034.362,-16.305.00,-8.566.756,252,Productosalimenticios,brenes(SEVILLA)
231,LAFARGARODSL,776.573.193,539.546.235,3.165.388,6.209.733,22,Metalesnoferrosos/minerales,LesMasiesDeV(BARCELONA)
232,URBASERSA,765.954.00,735.840.00,40.254.00,108.764.00,12.624,Servicios&EquiposEcol�gicos,MEDRID(MADRID)
233,TORRASPAPELSA,763.501.693,767.808.066,-20.083.469,49.500.178,1.891,Industriamaderera,Getafe(MADRID)
234,GONVARRIICENTRODESERVICIOSSL,763.060.00,581.962.00,49.618.00,66.741.00,462,Acero,MADRID(MADRID)
235,SADAMM,752.324.200,718.296.108,64.252.77,104.970.229,570,BebidasyTabaco,BARCELONA(BARCELONA)
236,SANOFI-AVENTISSA,751.499.00,620.637.00,6.438.00,16.847.00,1.133,Productosf�rmacos/Medicamentos,BARCELONA(BARCELONA)
237,REPSOLLUBRICANTESYESPECIALIDADESSA,749.429.00,635.527.00,42.538.00,58.910.00,390,Petr�leoygas,Madrid(MADRID)
238,AFBSAMHOLDINGSSL,733.426.00,40.821.00,733.408.00,733.408.00,-,Intermediariosfinancieros,BOADILLADELMO(MADRID)
239,ORANGEESPA�ACOMUNICACIONESFIJASSL,730.567.00,338.185.00,75.825.00,287.351.00,189,Telecomunicaciones,POZUELODEALAR(MADRID)
240,FCCAQUALIASA,729.989.00,692.165.00,74.006.00,161.694.00,5.133,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
241,INDUSTRIADETURBOPROPULSORESSA,729.296.00,670.049.00,60.932.00,106.925.00,2.046,Aeroespacialydefensa,Zamudio(VIZCAYA)
242,QUIMIDROGASA,727.264.546,632.976.190,10.750.248,19.082.633,421,Productosqu�micosypl�sticos,Barcelona(BARCELONA)
243,PROSEGURSOLUCIONESINTEGRALESDESEGURIDADESPA�ASL,726.848.00,630.248.00,6.963.00,22.421.00,21.693,Consultor�aempresarialyotros,MADRID(MADRID)
244,CORPORACIONALIMENTARIAPE�ASANTASA,719.658.00,665.833.00,14.361.00,28.774.00,1.097,Productosalimenticios,SIERO(ASTURIAS)
245,GRUPOEROSKIDISTRIBUCIONSA,719.102.00,841.474.00,494.00,2.072.00,-,Minoristasdealimentos/medicamentos,ELORRIO(VIZCAYA)
246,BENTELERIBERICAHOLDINGSL,716.811.00,676.423.00,102.882.00,12.500.00,67,Automotor,BURGOS(BURGOS)
247,NANTASA,716.217.00,728.062.00,13.992.00,15.875.00,419,Productosalimenticios,TRESCANTOS(MADRID)
248,RENFEFABRICACIONYMANTENIMIENTOSOCIEDADMERCANTILESTATALSA,715.830.00,694.054.00,12.393.00,27.417.00,3.229,Ferrocarrilyindustriascorrespondientes,MADRID(MADRID)
249,ADECCOTTSAEMPRESADETRABAJOTEMPORAL,712.802.881,641.067.871,8.072.796,8.763.912,19.780,Otros/varios,PozuelodeAlar(MADRID)
250,GRUPSUPECOMAXORSL,712.754.508,676.864.880,-4.354.649,19.113.99,4.380,Minoristasdealimentos/medicamentos,ALCOBENDAS(MADRID)
251,EVERISSPAINSL,703.897.00,602.337.00,16.664.00,35.310.00,7.306,Consultor�aempresarialyotros,MADRID(MADRID)
252,SIEMENSSA,701.457.495,676.763.517,24.392.255,23.303.010,1.592,Productoselectr�nicos/el�ctricos,TresCantos(MADRID)
253,FERROVIALSERVICIOSSA,698.653.00,582.992.00,11.006.00,11.012.00,-,Construcci�nyDesarrollo,MADRID(MADRID)
254,ASEABROWNBOVERISA,697.823.00,685.143.00,-26.427.00,19.354.00,1.905,Productoselectr�nicos/el�ctricos,MADRID(MADRID)
255,MELIAHOTELSINTERNATIONALSA,695.311.540,603.015.730,77.024.420,76.063.630,5.039,Alojamientoycasinos,PALMADEMALLOR(ISLASBALEARES)
256,BANKIAMAPFREVIDASADESEGUROSYREASEGUROS,-,693.500.00,-,-,41,Seguro,MAJADAHONDA(MADRID)
257,IFARETAILSA,-,692.364.00,-,-,69,Minoristasdealimentos/medicamentos,Alcobendas(MADRID)
258,ASTURIANADEZINCSA,692.030.00,550.711.00,33.922.00,68.803.00,946,Metalesnoferrosos/minerales,SANJUANDENIE(ASTURIAS)
259,INFORMATICAELCORTEINGLESSA,685.497.237,642.821.954,27.962.293,47.551.127,2.182,Minoristas(exceptoalimentosymedicamentos),MADRID(MADRID)
260,GOA-INVESTSA,685.491.426,549.357.694,35.463.245,47.113.547,138,Construcci�nyDesarrollo,Arteixo(LACORU�A)
261,ERCROSSA,680.408.00,597.845.00,44.633.00,45.279.00,1.319,Productosqu�micosypl�sticos,BARCELONA(BARCELONA)
262,SIDENORACEROSESPECIALESSL,679.740.00,676.357.00,58.736.00,82.187.00,1.752,Acero,BASAURI(VIZCAYA)
263,INDUSTRIASCARNICASLORIENTEPIQUERASSA,679.651.878,531.866.129,35.005.376,60.901.531,1.394,Productosalimenticios,TARANCON(CUENCA)
264,HENNESANDMAURITZSL,679.627.00,689.837.00,14.294.00,48.964.00,6.269,Ropa/textiles,Barcelona(BARCELONA)
265,TELEFONICASOLUCIONESDEINFORMATICAYCOMUNICACIONESDEESPA�ASA,677.837.00,675.788.00,13.575.00,17.277.00,1.00,Telecomunicaciones,Madrid(MADRID)
266,REALMADRIDCLUBDEFUTBOL,672.894.00,672.894.00,21.372.00,136.237.00,776,Productos/actividadesdeocio/Pel�culas,MADRID(MADRID)
267,ESPRINETIBERICASL,672.494.00,728.569.00,830.00,9.047.00,-,Productoselectr�nicos/el�ctricos,ZARAGOZA(ZARAGOZA)
268,SOCIEDADDECOMPRASMODERNASSA,668.055.195,634.133.864,11.840.591,16.143.525,100,Minoristasdealimentos/medicamentos,MADRID(MADRID)
269,SUPERCORSA,-,660.305.415,-,-,4.250,Minoristasdealimentos/medicamentos,MADRID(MADRID)
270,NORDEXENERGYSPAINSA,659.574.00,289.965.00,11.704.00,37.416.00,628,Construcci�nyDesarrollo,BARASOAIN(NAVARRA)
271,FINANCIERAMADERERASA,659.224.756,608.789.241,56.102.682,92.160.456,2.498,Industriamaderera,SANTIAGODECOM(LACORU�A)
272,MAPFRESA,-,659.215.00,-,-,480,Seguro,MAJADAHONDA(MADRID)
273,PHILIPMORRISSPAINSL,651.324.944,66.913.181,52.435.716,71.056.887,371,BebidasyTabaco,Madrid(MADRID)
274,LACTALISPULEVASL,651.199.456,633.405.334,2.250.852,33.407.707,231,Productosalimenticios,GRANADA(GRANADA)
275,FUTBOLCLUBBARCELONA,648.218.00,620.115.00,18.134.00,11.217.00,1.104,Productos/actividadesdeocio/Pel�culas,BARCELONA(BARCELONA)
276,GASYELECTRICIDADGENERACIONSA,647.407.00,527.553.00,86.283.00,178.857.00,373,Petr�leoygas,PALMADEMALLOR(ISLASBALEARES)
277,PESCANOVAESPA�ASL,645.756.00,618.425.00,7.382.00,17.99.00,989,Productosalimenticios,REDONDELA(PONTEVEDRA)
278,EXPLOTACIONESTACIONDESERVICIOSA,644.311.00,594.289.00,1.329.00,1.708.00,1.124,Petr�leoygas,MADRID(MADRID)
279,FORTIAENERGIASL,640.875.00,521.915.00,197.00,902.00,17,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
280,COBEGAEMBOTELLADORSL,640.647.160,661.964.869,11.264.391,33.166.075,1.189,BebidasyTabaco,ESPLUGUESDELL(BARCELONA)
281,HAVASMEDIAGROUPSPAINSA,640.151.00,691.166.00,-24.093.00,-7.925.00,601,Consultor�aempresarialyotros,BARCELONA(BARCELONA)
282,BRAVOCAPITALTOROFINANCESL,639.889.550,707.657.830,-2.933.470,63.810,31,Intermediariosfinancieros,MADRID(MADRID)
283,GMFUELSERVICESL,638.104.253,320.815.102,922.219,1.761.199,14,Petr�leoygas,MADRID(MADRID)
284,EULENSA,635.890.00,629.221.00,4.811.00,20.346.00,28.466,Equiposyservicioscomerciales,BILBAO(VIZCAYA)
285,TELEFONICALATINOAMERICAHOLDINGSL,635.687.00,430.858.00,219.505.00,306.020.00,-,Telecomunicaciones,MADRID(MADRID)
286,ALIMERKASA,632.946.00,612.733.00,13.037.00,25.286.00,6.491,Minoristasdealimentos/medicamentos,LUGODELLANERA(ASTURIAS)
287,TELEFONICAINTERNATIONALWHOLESALESERVICESSL,-,631.557.00,-,-,482,Telecomunicaciones,MADRID(MADRID)
288,CALIDADPASCUALSA,628.262.00,621.792.00,-14.206.00,62.648.00,1.639,Productosalimenticios,ARANDADEDUERO(BURGOS)
289,RIVASAMINTERCONTINENTALSA,621.732.090,540.868.130,30.274.840,36.363.240,77,Productosalimenticios,ZUERA(ZARAGOZA)
290,IBMGLOBALSERVICESESPA�ASA,619.947.00,593.213.00,41.605.00,102.253.00,1.894,Consultor�aempresarialyotros,SANFERNANDODE(MADRID)
291,ANIDAOPERACIONESSINGULARESSA,613.623.00,448.254.00,-392.752.00,-507.908.00,436,Inmobiliariasysimilares,Madrid(MADRID)
292,GEDESCOFINANCESL,604.659.583,453.230.169,3.375.965,12.332.401,237,Intermediariosfinancieros,VALENCIA(VALENCIA)
293,MEROILSA,603.594.819,524.688.538,10.499.214,13.989.309,103,Petr�leoygas,BARCELONA(BARCELONA)
294,CRITERIACAIXASA,602.848.00,543.462.00,361.181.00,476.229.00,81,Intermediariosfinancieros,PALMADEMALLOR(ISLASBALEARES)
295,ANECOOPSCOOP,601.192.810,576.004.689,1.658.375,2.534.764,183,Agricultura,VALENCIA(VALENCIA)
296,NISSANIBERIASA,-,601.121.00,-,-,146,Automotor,&nbsp;(BARCELONA)
297,JOHNSONCONTROLSAUTOBATERIASSL,600.550.129,457.929.823,44.225.054,63.66.014,66,Productoselectr�nicos/el�ctricos,MADRID(MADRID)
298,ACEITESDELSUR-COOSURSA,600.440.917,480.315.102,6.151.335,14.672.034,-,Productosalimenticios,JAEN(JA�N)
299,GLAXOSMITHKLINESA,598.195.773,586.270.714,21.55.743,20.579.063,582,Productosf�rmacos/Medicamentos,TRESCANTOS(MADRID)
300,GRIFOLSSA,597.536.903,523.121.562,341.327.404,419.928.447,612,Productosf�rmacos/Medicamentos,BARCELONA(BARCELONA)
301,BRICOLAJEBRICOMANSL,594.552.584,435.212.190,28.66.695,39.242.565,2.364,Minoristas(exceptoalimentosymedicamentos),ALCOBENDAS(MADRID)
302,SECURITASDIRECTESPA�ASA,593.819.00,513.705.00,92.835.00,167.830.00,5.055,Consultor�aempresarialyotros,POZUELODEALAR(MADRID)
303,INDORAMAVENTURESQUIMICASL,592.664.00,453.578.00,90.303.00,134.640.00,278,Productosqu�micosypl�sticos,SANROQUE(C�DIZ)
304,ZARDOYAOTISSA,590.879.00,570.623.00,152.289.00,166.078.00,3.200,Equiposindustriales,MADRID(MADRID)
305,LGELECTRONICSESPA�ASA,590.534.00,577.981.00,4.191.00,5.734.00,330,Productoselectr�nicos/el�ctricos,LASROZAS(MADRID)
306,LIPIDOSSANTIGASA,589.348.378,503.969.136,8.544.030,20.589.504,149,Productosalimenticios,SANTAPERPETUA(BARCELONA)
307,CEPSAGASCOMERCIALIZADORASA,588.522.00,557.982.00,-34.143.00,-31.877.00,25,Petr�leoygas,MADRID(MADRID)
308,ALUDIUMTRANSFORMACIONDEPRODUCTOSSL,584.924.00,486.375.00,2.741.00,14.925.00,807,Metalesnoferrosos/minerales,AMOREBIETA(VIZCAYA)
309,COBRAINSTALACIONESYSERVICIOSSA,583.676.00,665.074.00,120.605.00,-15.516.00,3.950,Construcci�nyDesarrollo,MADRID(MADRID)
310,GAVILONESPA�ASL,582.138.347,430.625.966,1.036.934,1.261.276,11,Agricultura,MADRID(MADRID)
311,MERCEDESBENZRETAILSA,-,577.673.00,-,-,675,Automotor,MADRID(MADRID)
312,COMPA�IALOGISTICADEHIDROCARBUROSCLHSA,577.430.00,558.511.00,210.740.00,340.052.00,1.042,Petr�leoygas,MADRID(MADRID)
313,ENERGYAVMGESTIONDEENERGIASL,575.961.250,538.554.00,-2.470.100,6.196.280,159,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
314,AUTOPISTASCONCESIONARIAESPA�OLASA,575.841.00,55.874.00,297.969.00,488.139.00,612,Utilities/Serviciosdeutilidadp�blica,Barcelona(BARCELONA)
315,MODELOCONTINENTEINTERNATIONALTRADESA,574.403.171,582.875.669,14.579.235,18.390.527,69,Minoristasdealimentos/medicamentos,ALCORCON(MADRID)
316,SANTUSAHOLDINGSL,574.390.00,379.462.00,616.754.00,561.194.00,5,Intermediariosfinancieros,BOADILLADELMO(MADRID)
317,MONDELEZESPA�ACOMMERCIALSL,569.624.00,570.834.00,-12.168.00,13.432.00,315,Minoristasdealimentos/medicamentos,MADRID(MADRID)
318,REFRESCOSENVASADOSDELSURSL,569.306.294,576.120.368,22.912.200,41.807.430,813,BebidasyTabaco,LARINCONADA(SEVILLA)
319,LEARCORPORATIONHOLDINGSPAINSL,565.454.00,528.042.00,47.296.00,42.678.00,1.104,Automotor,valls(TARRAGONA)
320,ARCELORMITTALOLABERRIA-BERGARASL,565.052.00,529.349.00,6.024.00,14.796.00,618,Acero,OLABERRIA(GUIP�ZCOA)
321,DISTRIBUCIONESFROIZSA,563.828.759,543.643.621,8.276.313,22.558.301,4.162,Minoristasdealimentos/medicamentos,POIO(PONTEVEDRA)
322,VINZEOTECHNOLOGIESSA,563.116.756,550.949.723,6.508.059,9.480.885,136,Productoselectr�nicos/el�ctricos,Bilbao(VIZCAYA)
323,COMPA�IAGENERALDECOMPRASAGROPECUARIASSL,562.706.265,557.453.748,1.693.507,3.304.827,86,Agricultura,LLEIDA(LLEIDA)
324,GLOBALSTEELWIRESA,562.376.00,470.257.00,21.235.00,50.725.00,599,Acero,CERDANYOLADEL(BARCELONA)
325,JOHNDEEREIBERICASA,559.967.00,496.661.00,27.561.00,51.945.00,1.146,Equiposindustriales,GETAFE(MADRID)
326,ESSITYSPAINSL,557.259.00,567.148.00,32.939.00,67.653.00,701,Industriamaderera,PUIGPELAT(TARRAGONA)
327,FAURECIAAUTOMOTIVEESPA�ASA,554.755.00,481.832.00,274.372.00,284.943.00,1.270,Automotor,RIVASVACIAMADR(MADRID)
328,INTERNATIONALBUSINESSMACHINESSA,552.503.00,578.704.00,21.136.00,24.446.00,1.077,Consultor�aempresarialyotros,MADRID(MADRID)
329,VALCARCETARJETATRANSPORTESA,551.651.932,434.382.334,5.331.905,7.113.684,-,Minoristas(exceptoalimentosymedicamentos),LAPORTELADEV(LE�N)
330,BASELLPOLIOLEFINASIBERICASL,551.423.00,474.779.00,60.971.00,73.688.00,244,Productosqu�micosypl�sticos,barcelona(BARCELONA)
331,KUWAITPETROLEUMESPA�ASA,550.388.00,443.419.00,-216.00,1.850.00,42,Petr�leoygas,MADRID(MADRID)
332,UNILEVERESPA�ASA,549.137.00,551.448.00,9.948.00,23.721.00,469,Productosqu�micosypl�sticos,VILADECANS(BARCELONA)
33,ISSFACILITYSERVICESSA,548.784.638,545.730.660,5.510.884,29.119.776,25.215,Equiposyservicioscomerciales,MADRID(MADRID)
334,EMPRESAMUNICIPALDETRANSPORTESDEMADRIDSA,546.977.214,533.369.119,2.738.204,43.045.772,9.270,Transporteterrestre,Madrid(MADRID)
335,COVIRANSCOOPAND,545.542.519,535.734.228,1.033.791,5.402.812,968,Minoristasdealimentos/medicamentos,ATARFE(GRANADA)
336,CROWNFOODESPA�ASA,545.430.00,523.341.00,-26.530.00,79.252.00,1.897,Equipamientoindustrialenmetal,LASTORRESDEC(MURCIA)
337,ERICSSONESPA�ASA,543.191.00,627.871.00,12.203.00,78.358.00,2.161,Productoselectr�nicos/el�ctricos,MADRID(MADRID)
338,GLENCOREESPA�ASA,537.554.662,510.003.631,4.223.184,-1.832.026,40,Petr�leoygas,MADRID(MADRID)
339,CAMPSAESTACIONESDESERVICIOSA,535.443.00,525.669.00,34.597.00,47.425.00,-,Petr�leoygas,MADRID(MADRID)
340,GILEADSCIENCESSL,535.278.00,703.036.00,9.488.00,13.953.00,181,Minoristasdealimentos/medicamentos,Madrid(MADRID)
341,GROUPMPUBLICIDADWORLDWIDESA,533.765.00,649.561.00,734.00,1.200.00,236,Publicaci�n,MAJADAHONDA(MADRID)
342,FERTIBERIASA,533.604.00,484.121.00,-2.872.00,16.284.00,-,Productosqu�micosypl�sticos,Madrid(MADRID)
343,SCHINDLERIBERICAMANAGEMENTSA,-,532.627.00,-,-,72,Consultor�aempresarialyotros,ZARAGOZA(ZARAGOZA)
344,ARVALSERVICELEASESA,531.715.00,479.786.00,64.674.00,420.124.00,529,Leasingdeequipos,SANSEBASTIAND(MADRID)
345,ALTAMIRASANTANDERREALESTATESA,531.637.00,460.869.00,-189.047.00,-194.173.00,27,Intermediariosfinancieros,BOADILLADELMO(MADRID)
346,EUROFIELCONFECCIONSA,528.381.00,546.325.00,42.151.00,60.743.00,101,Ropa/textiles,MADRID(MADRID)
347,DEOLEOSA,528.177.00,499.827.00,-37.579.00,-5.506.00,273,Productosalimenticios,Alcolea(C�RDOBA)
348,LOUISDREYFUSCOMPANYESPA�ASA,527.838.148,440.796.550,967.192,903.030,19,Agricultura,MADRID(MADRID)
349,NOKIASPAINSA,526.760.00,345.010.00,12.330.00,30.672.00,1.019,Productoselectr�nicos/el�ctricos,MADRID(MADRID)
350,CESPACOMPA�IAESPA�OLADESERVICIOSPUBLICOSAUXILIARESSA,523.933.00,518.263.00,-6.748.00,52.989.00,8.532,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
351,SANTANDERGLOBALTECHNOLOGYSL,522.663.00,644.941.00,29.949.00,43.809.00,816,Intermediariosfinancieros,BOADILLADELMO(MADRID)
352,MERCURIAENERGIASL,517.773.00,80.876.00,9.00,8.674.00,-,Petr�leoygas,MAJADAHONDA(MADRID)
353,ENAGASSA,516.469.00,523.119.00,349.454.00,419.375.00,338,Petr�leoygas,MADRID(MADRID)
354,CONWAYTHECONVENIENCECOMPANYSA,516.293.644,479.533.00,4.334.664,7.167.719,528,Productosalimenticios,Quer(GUADALAJARA)
355,MINASDEAGUASTE�IDASSA,516.161.724,311.612.980,87.553.878,268.907.189,673,Metalesnoferrosos/minerales,ALMONASTERLAR(HUELVA)
356,DTSDISTRIBUIDORADETELEVISIONDIGITALSA,513.816.00,593.882.00,36.049.00,96.827.00,185,RadioyTelevisi�n,TRESCANTOS(MADRID)
357,ROCASANITARIOSA,511.323.00,457.053.00,56.853.00,49.421.00,992,Construcci�nyDesarrollo,BARCELONA(BARCELONA)
358,ANSCOOP,510.043.00,471.006.00,7.919.00,7.508.00,318,Agricultura,TAJONAR(NAVARRA)
359,SABADELLINFORMATIONSYSTEMSSA,508.645.767,281.898.706,28.138.635,105.899.520,714,Intermediariosfinancieros,SABADELL(BARCELONA)
360,FERROCARRILMETROPOLITADEBARCELONASA,507.850.553,491.562.474,-,57.397.544,3.610,Utilities/Serviciosdeutilidadp�blica,BARCELONA(BARCELONA)
361,ADIDASESPA�ASA,507.380.667,448.504.253,12.056.991,22.480.740,1.476,Productos/actividadesdeocio/Pel�culas,ZARAGOZA(ZARAGOZA)
362,SCHINDLERSA,507.124.00,336.746.00,51.152.00,39.355.00,2.404,Equiposindustriales,CARTUJABAJA(ZARAGOZA)
363,BENTELERMPPVAUTOMOTIVEMANUFACTURINGESPA�ASL,505.421.00,520.078.00,11.252.00,12.094.00,334,Automotor,VentadeBa�os(PALENCIA)
364,ACSACTIVIDADESDECONSTRUCCIONYSERVICIOSSA,503.487.00,1.445.897.00,654.495.00,441.695.00,-,Construcci�nyDesarrollo,madrid(MADRID)
365,ADIENTSEATINGSPAINSL,501.162.372,206.172.600,-2.449.928,3.693.906,1.035,Automotor,PEDROLA(ZARAGOZA)
366,FUJIKURAAUTOMOTIVEEUROPESA,501.049.526,458.281.736,-29.060.589,-47.981.901,166,Productoselectr�nicos/el�ctricos,ZARAGOZA(ZARAGOZA)
367,PUBLICISMEDIASPAINSL,499.684.00,489.567.00,58.00,98.00,124,Publicaci�n,MADRID(MADRID)
368,NEDGIACATALUNYASA,499.336.00,512.869.00,139.305.00,299.321.00,553,Petr�leoygas,Barcelona(BARCELONA)
369,COFCOINTERNATIONALRESOURCESESPA�ASL,499.136.846,392.235.293,-22.383.799,-29.894.435,15,Agricultura,POZUELODEALAR(MADRID)
